chr,pos,class,length
11,2571,0,0
10,1819,0,0
10,7,0,0
7,5647,0,0
20,245,0,0
2,9190,0,0
5,1840,0,0
1,9630,0,0
2,8336,2,20
12,84,2,8
1,3144,2,92
13,2213,0,0
2,1754,2,32
1,808,1,12
4,4556,2,36
1,4398,0,0
1,7675,0,0
14,2089,0,0
4,772,0,0
13,4072,1,56
9,5272,2,36
16,896,2,8
1,7457,0,0
11,1212,0,0
5,1774,0,0
6,3686,1,4
7,3660,2,32
4,2635,0,0
14,3604,0,0
11,1240,2,64
10,2804,2,22
14,176,0,0
6,228,0,0
22,1702,1,40
2,5428,2,44
16,3399,0,0
15,2802,0,0
4,3604,1,46
22,1700,2,6
8,3796,0,0
7,4232,2,24
8,5820,1,8
3,25,0,0
3,652,1,13
4,2261,0,0
8,3867,0,0
2,3006,1,32
2,6871,1,26
10,1238,1,46
12,534,0,0
13,498,0,0
8,2322,0,0
3,5144,1,18
5,3717,0,0
8,3260,2,40
21,478,0,0
10,1587,0,0
5,2596,1,24
3,4212,1,44
10,4092,1,15
20,1942,1,10
11,3728,1,8
5,1532,1,24
6,418,1,14
5,5784,0,0
12,2136,2,46
17,2604,2,16
11,4844,2,36
10,4073,0,0
2,4196,1,40
4,647,0,0
6,5954,1,18
20,998,1,4
6,5100,1,20
10,2010,0,0
7,4180,1,30
13,860,2,32
17,1316,0,0
8,1270,0,0
22,1400,0,0
7,4998,0,0
5,3353,0,0
10,228,2,12
8,4397,0,0
6,1548,2,56
13,980,1,16
1,6400,1,16
12,681,0,0
9,5023,0,0
13,1144,1,32
8,3680,2,52
4,82,0,0
5,2510,0,0
2,8278,0,0
13,3460,2,44
20,1002,2,4
1,785,0,0
3,6658,0,0
2,7017,0,0
14,3134,0,0
14,863,0,0
1,7320,0,0
5,7062,0,0
11,5190,2,36
13,1396,0,0
1,9912,1,60
18,102,1,28
4,3977,0,0
10,1106,2,42
2,7674,0,0
10,5313,0,0
15,3456,1,100
5,5268,2,16
17,1646,2,18
10,3440,2,4
3,2502,1,28
3,6250,1,6
12,3368,0,0
13,704,0,0
18,3093,0,0
20,824,2,24
3,2676,1,36
4,5261,0,0
15,1951,0,0
2,2379,0,0
15,4058,1,4
7,4592,2,24
3,4152,1,52
5,6488,0,0
14,3764,1,24
6,5651,0,0
10,2624,2,28
5,4737,0,0
2,3960,2,30
3,5528,0,0
2,5566,0,0
14,1566,0,0
2,3037,2,32
1,6636,2,32
16,1010,2,28
8,2994,0,0
5,5883,0,0
1,8052,0,0
19,76,1,40
1,6050,1,6
4,1652,2,16
5,1169,0,0
11,1618,0,0
14,3788,2,56
3,450,1,26
2,8945,0,0
6,3689,0,0
3,2053,0,0
12,1854,0,0
15,2104,0,0
1,4260,1,48
7,1784,2,14
1,4944,0,0
2,1409,0,0
1,4744,0,0
1,8987,0,0
15,2350,0,0
6,6404,2,21
18,34,1,68
7,1784,2,20
7,1168,0,0
5,2324,0,0
1,3008,1,20
11,1452,2,32
6,5260,1,42
3,1716,1,56
4,1856,0,0
5,6394,2,16
3,626,1,26
3,5694,0,0
14,2468,2,24
12,4168,1,14
5,3520,1,68
2,4478,0,0
8,1948,1,8
11,432,1,60
2,9561,0,0
1,510,2,18
4,700,1,12
1,8288,1,28
17,2692,2,32
18,1275,0,0
7,3708,2,20
3,7296,2,80
2,3594,0,0
4,776,0,0
1,2562,2,30
1,6362,0,0
3,2893,0,0
7,388,0,0
6,77,0,0
1,2146,2,46
2,6832,2,20
7,1548,0,0
4,827,0,0
13,1200,1,72
1,9478,0,0
5,1716,2,80
8,4999,0,0
12,4007,0,0
16,1016,0,0
10,2928,0,0
4,6427,0,0
15,3747,0,0
3,7216,1,80
4,4638,1,46
21,1269,0,0
22,1632,1,20
7,1928,2,10
18,1596,1,48
1,6082,0,0
18,552,2,24
7,116,1,14
7,5467,0,0
2,5160,2,48
20,13,0,0
7,2471,0,0
19,1836,2,32
1,356,2,36
18,2153,0,0
15,1840,1,54
4,6641,2,14
10,1064,2,24
16,1976,1,24
2,679,0,0
13,1999,0,0
1,9338,1,32
13,898,0,0
16,2800,2,26
12,3668,1,56
5,6160,2,28
4,2131,0,0
6,4453,2,20
18,1154,2,4
14,3807,0,0
11,4456,2,44
14,920,0,0
3,6228,1,22
3,2439,0,0
3,7476,1,80
4,6530,0,0
18,1564,1,32
2,6379,0,0
2,4612,0,0
3,5816,0,0
7,5564,2,24
18,444,0,0
8,2660,2,48
1,2996,0,0
2,8520,0,0
20,60,2,12
2,3631,0,0
3,7762,2,28
9,1206,0,0
1,7561,0,0
11,2797,0,0
3,7462,2,36
18,936,0,0
13,726,0,0
12,3670,1,54
11,2672,1,28
4,3376,2,26
13,1492,0,0
17,701,0,0
10,900,1,36
4,2622,1,108
10,1336,0,0
19,1836,2,30
5,1577,0,0
12,1856,2,36
12,2582,0,0
22,1005,0,0
8,1512,2,8
1,6502,1,8
7,5145,0,0
9,4708,0,0
6,2872,2,36
13,2023,0,0
5,45,0,0
17,2813,0,0
20,1201,0,0
8,344,1,12
17,2173,0,0
13,1778,1,24
1,7796,0,0
11,4982,0,0
3,2650,1,28
19,717,0,0
19,320,2,40
20,786,1,14
14,1808,1,24
3,2458,0,0
2,2256,2,20
16,460,2,18
5,5451,0,0
10,3980,1,16
7,4326,2,14
10,1464,0,0
20,1312,2,20
10,3020,1,20
6,432,2,14
18,1748,1,100
12,224,0,0
14,936,2,28
2,5488,2,24
8,5200,1,32
5,323,0,0
15,3663,2,30
7,3248,1,16
22,1745,0,0
11,2254,0,0
7,2966,1,40
6,2055,0,0
14,2578,0,0
3,4631,0,0
11,5087,0,0
4,6228,1,48
16,540,0,0
10,3992,0,0
2,5291,0,0
6,1064,2,24
11,1095,0,0
9,5331,0,0
17,2701,0,0
3,1718,2,14
2,4902,2,18
4,6269,2,17
3,7558,1,28
8,4352,1,40
16,2404,0,0
12,2334,1,50
18,1994,2,28
12,3187,0,0
11,941,0,0
2,9308,1,28
12,508,0,0
5,666,1,22
4,3807,0,0
4,3038,0,0
1,8627,0,0
18,1721,0,0
6,3028,0,0
3,7264,0,0
8,5096,0,0
19,1563,0,0
18,1378,0,0
11,3095,0,0
7,3104,1,140
19,2015,0,0
3,3093,0,0
5,1091,0,0
1,4124,0,0
22,92,0,0
8,1108,2,24
9,4042,2,26
9,3716,2,40
5,4522,0,0
11,3822,1,26
13,979,0,0
16,2746,0,0
11,1044,0,0
14,1480,0,0
1,7406,2,18
1,8574,1,20
1,2068,1,32
7,1584,2,48
19,320,2,36
7,20,0,0
2,5737,0,0
10,996,1,20
11,1292,1,20
5,6804,1,28
5,4001,0,0
11,392,2,32
8,5567,0,0
4,4580,0,0
14,1888,0,0
12,2100,1,36
4,6047,1,34
7,1756,2,16
18,1318,1,24
14,1548,0,0
10,0,1,34
11,2441,0,0
1,6383,0,0
22,1744,1,8
16,2084,1,36
15,3108,0,0
7,4210,2,30
2,1214,2,36
4,830,0,0
9,1165,0,0
2,4918,0,0
19,1802,2,29
2,2820,1,28
8,55,0,0
6,1278,2,20
5,3630,2,26
8,279,0,0
17,1535,0,0
22,221,0,0
8,2966,1,34
7,1036,2,26
15,2084,2,8
3,672,1,20
16,510,0,0
17,1712,1,16
1,1561,0,0
9,5296,2,24
9,1089,0,0
10,2596,1,24
10,2964,1,28
3,1110,2,18
13,3712,1,90
17,3184,1,40
20,1357,0,0
8,2082,0,0
3,2456,2,60
3,1136,1,96
7,5592,2,28
3,4920,2,22
4,422,2,20
21,1760,2,32
5,5243,0,0
3,1953,0,0
10,3864,0,0
1,920,2,26
7,199,0,0
4,7202,0,0
9,1092,1,12
22,892,1,12
4,1634,0,0
1,4530,2,14
4,6431,0,0
17,2460,2,48
3,4744,0,0
10,5014,1,16
1,6286,2,34
5,2326,1,38
9,1072,0,0
4,4460,1,60
5,2152,1,28
4,7454,2,10
11,3841,0,0
10,2090,0,0
4,1679,0,0
13,1726,2,12
7,4210,1,22
3,3980,2,30
5,5673,0,0
1,7336,2,24
5,5476,1,128
5,3400,0,0
1,7616,0,0
11,2769,0,0
3,238,0,0
17,278,0,0
4,2584,0,0
10,4500,1,8
1,2914,0,0
20,2086,1,22
4,7309,0,0
14,1320,2,44
21,1298,2,44
12,49,0,0
7,828,2,40
1,7274,0,0
17,2826,0,0
16,401,0,0
12,4704,2,48
5,6398,2,4
7,3520,0,0
2,1836,0,0
1,6738,0,0
7,3929,0,0
2,4161,0,0
10,3381,0,0
7,1428,1,8
9,4814,2,36
10,4918,0,0
3,512,0,0
1,1476,1,40
13,4329,0,0
8,4834,1,46
3,4934,1,36
19,2264,0,0
5,7158,2,52
4,3196,2,44
1,4234,0,0
2,1808,2,44
4,4970,0,0
4,2774,0,0
2,1714,0,0
8,326,0,0
1,5921,0,0
2,9310,0,0
2,3607,0,0
3,5164,1,24
2,5408,2,24
1,9889,0,0
1,1664,0,0
10,3154,1,30
18,1780,2,32
9,2542,0,0
18,2890,2,18
18,639,0,0
1,1744,1,38
5,6852,2,20
5,6912,2,40
6,3247,0,0
10,2597,2,30
2,9386,2,50
6,6285,0,0
15,3012,1,10
9,4172,0,0
2,6381,0,0
1,5896,1,98
9,288,0,0
11,3943,0,0
11,3820,2,32
2,3097,0,0
18,234,2,31
2,7134,0,0
9,5236,2,28
18,1594,0,0
3,7840,0,0
13,3206,2,8
10,3812,1,16
2,570,0,0
12,2260,1,16
14,2178,0,0
8,4840,0,0
20,729,0,0
8,5352,1,28
14,2043,0,0
6,1638,1,32
7,1704,0,0
21,1327,0,0
10,3640,1,8
2,1428,2,72
8,5748,2,50
8,2782,0,0
2,288,2,8
15,2340,1,24
10,2828,1,12
11,4412,2,10
8,3971,0,0
16,520,2,32
8,2909,0,0
7,5069,0,0
4,5436,0,0
5,5692,2,8
22,436,0,0
20,1216,1,12
16,982,2,36
2,8184,0,0
14,2024,1,30
3,5648,2,8
4,60,0,0
15,2877,0,0
2,2748,2,16
4,7454,2,28
2,3004,1,32
8,1732,0,0
2,6896,2,24
1,6424,1,16
2,6245,0,0
11,3038,0,0
12,1924,1,20
12,2231,0,0
15,1303,0,0
7,1020,0,0
18,2408,0,0
2,4904,2,20
20,1682,1,32
10,4877,0,0
21,1500,1,10
10,3244,0,0
14,141,0,0
6,6844,2,108
20,2427,0,0
22,1375,0,0
3,3029,0,0
7,1703,0,0
8,2662,0,0
2,1434,0,0
4,2860,1,16
1,5630,0,0
10,4179,1,26
17,392,1,16
20,891,0,0
2,3036,2,32
8,1921,0,0
1,6692,0,0
3,5430,2,58
12,1000,2,86
20,2463,0,0
16,398,0,0
5,3060,0,0
2,1802,0,0
1,3504,2,20
10,5014,1,32
2,5948,2,50
14,1401,1,51
6,1918,0,0
17,1772,2,32
6,3692,0,0
2,5059,0,0
9,5024,1,22
3,4452,1,40
10,4332,0,0
7,5011,0,0
19,1104,0,0
18,1160,1,30
5,5332,1,8
13,1296,1,20
2,5826,0,0
11,4388,1,24
2,7882,0,0
1,55,0,0
2,1917,0,0
3,5998,1,12
14,2863,0,0
9,4038,0,0
17,658,0,0
4,1524,1,28
17,1082,1,9
2,804,1,32
4,7100,2,8
13,3528,0,0
4,5720,2,36
1,9380,2,44
15,1604,2,56
15,1500,2,32
11,5047,2,17
7,3154,2,46
2,526,2,54
2,6094,1,22
15,3010,0,0
9,2952,2,22
6,1811,0,0
11,313,0,0
4,3528,2,32
16,2276,1,8
19,117,0,0
12,2136,2,35
