chr,pos,class,length
7,4453,0,0
3,3173,0,0
9,5571,0,0
12,2744,1,26
8,4720,0,0
5,820,0,0
7,2110,0,0
12,914,2,60
4,2730,2,108
20,216,0,0
10,4017,0,0
18,1139,0,0
11,3268,0,0
2,8648,1,24
15,2316,1,24
17,3182,0,0
10,2927,0,0
16,2730,0,0
16,698,0,0
4,1716,2,38
22,131,0,0
8,4363,0,0
12,572,2,36
15,3972,0,0
2,9444,0,0
9,5024,2,32
9,3688,2,12
3,5002,0,0
2,1906,2,20
11,2642,1,30
4,3192,2,12
6,506,2,44
10,565,0,0
7,3102,0,0
11,4156,2,8
5,3193,0,0
21,1430,1,12
5,4292,0,0
8,1116,1,12
15,3162,2,34
19,732,2,32
1,5912,0,0
3,6778,1,18
11,4908,0,0
13,4352,1,32
13,2987,0,0
1,9570,0,0
1,8636,1,100
15,3099,0,0
17,2495,0,0
6,464,2,20
12,4300,1,22
2,9328,2,20
5,5846,0,0
7,6051,0,0
15,1668,2,36
7,1608,1,62
13,1678,0,0
5,2484,1,68
7,116,1,12
1,6242,1,10
10,3551,0,0
13,1974,2,28
12,1700,1,14
2,8759,0,0
4,2648,0,0
14,4112,2,28
10,936,2,36
2,1784,2,20
1,8478,0,0
1,896,1,36
5,2656,2,36
13,1200,1,28
12,4332,1,24
22,728,1,16
13,3742,0,0
19,1148,0,0
10,1094,0,0
8,5344,0,0
1,2532,2,16
16,1636,0,0
8,3000,2,34
7,4954,0,0
1,5182,0,0
9,3803,0,0
16,952,1,10
11,4896,2,36
3,7078,0,0
16,3352,2,72
12,4757,0,0
3,5214,0,0
2,2039,0,0
19,1365,0,0
6,5044,2,26
12,3681,0,0
3,4510,1,42
6,5520,1,12
3,3386,0,0
17,2749,0,0
6,5240,0,0
4,3250,0,0
1,3238,0,0
6,6072,1,40
15,0,1,910
5,1628,2,14
16,2700,1,24
9,1755,0,0
10,458,2,84
20,1710,1,30
10,4240,2,26
15,755,0,0
10,1308,2,24
5,1336,1,28
1,386,1,34
3,722,0,0
2,4844,2,28
8,3887,0,0
3,4263,0,0
1,9082,2,10
20,1804,1,10
4,5862,2,22
7,4684,2,24
7,1784,1,28
4,4594,0,0
11,2460,1,16
12,524,0,0
16,2144,2,24
12,76,1,8
2,7440,2,76
2,8370,1,34
18,844,2,32
13,1712,1,64
14,1122,0,0
10,192,2,64
21,1231,0,0
8,2820,2,42
10,48,1,80
12,487,0,0
10,4758,2,22
15,3788,1,8
1,6400,2,11
16,888,2,8
13,1296,2,24
19,1468,2,24
5,5943,0,0
15,3317,0,0
8,3008,0,0
7,1657,0,0
12,3317,0,0
3,7690,0,0
13,1446,0,0
21,406,0,0
13,1936,2,42
20,244,2,24
16,640,0,0
7,367,0,0
1,1072,1,20
12,3110,0,0
7,1931,0,0
17,143,2,38
5,3868,1,6
6,3688,0,0
7,6277,0,0
21,1927,0,0
3,4756,1,24
5,2075,0,0
22,1729,0,0
11,2995,0,0
3,6320,0,0
6,6474,0,0
1,7346,0,0
4,2154,1,52
4,5161,0,0
17,2629,0,0
2,8916,1,24
6,6344,1,20
9,5196,0,0
4,7465,0,0
1,8721,0,0
9,4250,0,0
10,3328,0,0
2,6920,2,24
10,3506,1,20
7,1262,0,0
15,1470,1,28
13,1501,0,0
1,2212,2,40
3,2648,2,68
13,3559,0,0
19,664,1,8
12,2540,2,36
8,2754,0,0
15,936,0,0
17,3003,0,0
14,2930,0,0
13,3230,0,0
7,6100,2,28
8,1504,2,24
5,2888,1,24
19,1117,0,0
10,5083,0,0
18,3072,1,12
2,4004,2,44
9,4462,1,30
14,2982,1,30
10,5197,0,0
22,1100,0,0
15,1914,0,0
7,4808,2,12
2,472,2,40
16,556,0,0
15,2679,0,0
12,2744,1,24
7,4067,0,0
1,576,0,0
12,308,0,0
12,3878,1,74
4,1016,2,12
6,5431,2,19
7,12,1,24
16,1559,0,0
17,651,0,0
3,7216,2,44
12,2281,0,0
19,45,0,0
8,4898,0,0
2,5433,0,0
21,760,1,12
17,1431,0,0
7,4302,2,30
13,1995,0,0
1,9925,0,0
22,1742,2,22
13,4523,0,0
12,1888,0,0
6,4270,2,36
16,664,0,0
1,9258,2,28
2,5452,1,8
6,6200,1,24
12,3724,2,56
8,2502,1,4
1,8419,0,0
4,5869,0,0
11,2282,1,22
6,2669,0,0
8,3220,1,84
10,3774,2,26
6,3828,2,88
18,876,1,64
17,3169,0,0
5,4494,1,24
8,2520,0,0
9,4492,1,28
11,2418,1,30
4,5126,0,0
4,3058,1,14
1,6882,1,14
2,960,1,16
12,500,1,16
21,510,0,0
16,105,0,0
2,6560,1,62
5,1830,0,0
10,636,1,36
19,792,1,194
12,2046,1,26
1,4580,2,10
11,4595,0,0
2,2618,1,16
2,1178,1,34
2,3876,0,0
21,1728,1,32
3,5247,0,0
16,2700,1,36
10,472,2,12
8,4992,1,28
4,5672,2,22
13,3333,0,0
3,188,1,22
15,3876,2,46
17,2250,1,14
6,6112,2,40
9,835,0,0
14,1164,1,76
12,76,2,6
6,1687,1,14
6,65,0,0
12,644,2,20
1,7312,2,32
10,3073,0,0
3,4052,0,0
20,1612,1,64
18,542,0,0
12,2787,0,0
21,817,0,0
7,884,1,18
22,960,1,8
16,924,1,16
1,7667,0,0
20,1851,1,39
2,1808,1,22
6,3916,2,38
5,4045,0,0
6,1171,0,0
6,271,0,0
4,1600,1,14
9,1653,0,0
16,3380,1,24
3,2129,0,0
6,987,0,0
22,932,1,8
1,5047,0,0
2,3035,0,0
13,2434,0,0
13,1736,0,0
9,3918,1,46
14,2722,0,0
7,1328,2,28
13,527,0,0
8,1347,0,0
15,2050,2,32
2,5445,0,0
1,418,0,0
14,864,2,8
4,3967,0,0
5,2960,2,32
5,2030,0,0
21,1592,1,44
18,2796,0,0
4,6252,2,24
21,448,2,20
18,1748,2,20
10,3152,2,72
19,612,0,0
4,555,0,0
11,2044,1,20
8,116,0,0
11,1916,1,116
1,7319,0,0
4,6946,0,0
16,1100,2,14
20,244,1,72
8,2864,2,42
2,132,0,0
5,1666,1,50
9,5305,0,0
5,313,0,0
11,4860,1,36
8,4946,1,46
3,3428,1,40
2,5025,0,0
2,5948,2,40
13,1269,0,0
20,1684,1,28
5,2430,0,0
3,943,0,0
20,800,2,14
12,1896,2,40
14,3451,0,0
4,284,1,60
10,228,2,10
3,2411,0,0
11,3125,0,0
1,2560,2,28
7,1764,1,20
10,3080,1,76
14,1240,2,76
19,696,2,10
18,872,2,28
14,3132,1,42
21,616,2,616
14,2442,1,28
2,9520,2,32
4,2717,0,0
2,2791,0,0
17,180,0,0
2,3213,0,0
2,7320,1,44
9,1340,2,20
16,2538,0,0
6,1714,1,12
7,1588,0,0
6,462,1,44
16,128,1,14
5,2460,1,24
20,1361,1,21
14,1188,0,0
7,3119,0,0
12,1616,1,4
4,83,0,0
1,212,0,0
1,1025,0,0
8,2968,2,40
3,1729,0,0
12,1845,0,0
4,6824,0,0
22,1242,0,0
4,6081,1,51
12,3058,1,22
10,4464,1,30
10,4253,0,0
12,3686,1,36
9,2727,0,0
6,6366,0,0
6,6389,0,0
9,5436,2,30
7,2295,0,0
4,2329,0,0
6,2300,0,0
1,3586,0,0
1,2448,0,0
11,1406,0,0
1,9715,0,0
5,5074,2,38
2,2413,0,0
13,3264,2,56
15,216,0,0
2,7567,0,0
17,2326,1,24
13,798,0,0
10,3785,0,0
5,2865,1,24
1,1361,0,0
1,2198,0,0
3,3980,2,36
1,8086,2,14
4,3892,2,50
11,4470,2,14
5,5147,0,0
7,5156,1,32
10,4940,2,32
7,4760,0,0
12,3445,0,0
1,4054,1,24
15,2164,2,40
16,3601,0,0
16,3456,0,0
1,2736,0,0
11,4450,0,0
7,6100,1,84
3,7148,1,16
5,5076,2,52
6,2922,1,42
22,1694,2,12
10,118,1,6
3,7776,2,12
6,6472,2,28
15,2836,2,48
4,1448,0,0
4,738,0,0
9,4734,2,22
2,4065,1,9
7,6072,1,28
10,2145,0,0
3,768,0,0
9,5074,2,28
13,1966,0,0
2,8521,0,0
8,4800,0,0
3,6228,1,20
13,3126,2,24
5,4977,0,0
4,6587,0,0
4,422,1,40
18,24,1,10
3,7172,1,44
1,9450,2,24
21,1700,1,28
2,5900,1,48
8,1672,1,8
3,716,2,24
4,712,2,12
13,2792,0,0
12,3078,0,0
6,2584,1,20
6,41,0,0
7,2802,0,0
9,1500,2,28
8,3276,1,8
7,2267,0,0
4,6727,0,0
4,755,0,0
15,756,0,0
15,2375,0,0
5,350,0,0
8,929,0,0
20,462,2,46
5,2734,2,32
12,1968,1,8
10,3184,2,28
11,1176,1,68
9,3622,0,0
13,2506,0,0
2,1906,1,14
4,6785,0,0
5,3933,0,0
21,1405,0,0
1,8327,0,0
10,2921,2,15
16,2984,1,24
12,211,0,0
5,6828,0,0
3,1697,0,0
13,4012,1,36
6,3175,0,0
5,3104,2,32
9,1015,0,0
18,1376,2,64
5,6260,1,28
3,1403,0,0
10,3812,2,36
14,2092,1,8
15,1312,0,0
4,2760,0,0
19,98,1,8
14,1831,0,0
7,3670,0,0
1,8050,0,0
15,177,0,0
11,670,1,34
19,2072,1,16
14,3092,1,12
14,4047,0,0
6,3036,1,16
11,4808,1,36
15,1840,2,28
1,7012,2,8
3,142,0,0
19,1936,2,24
8,3852,2,22
12,2102,0,0
21,1561,1,33
8,3824,2,36
16,1857,0,0
20,1356,2,20
4,4233,0,0
19,534,1,20
7,856,0,0
8,356,1,32
10,3692,0,0
16,176,2,32
5,3264,1,54
3,1319,0,0
20,1942,2,14
6,3316,1,36
2,8361,0,0
12,3015,0,0
3,6896,2,44
11,326,2,6
15,2101,1,22
2,1421,0,0
2,3142,0,0
9,1658,0,0
1,2532,2,36
1,7216,0,0
22,1613,0,0
5,6296,1,28
10,2032,2,56
3,7135,0,0
13,1507,0,0
7,751,0,0
5,7037,0,0
15,3570,0,0
2,3950,0,0
8,1594,2,4
11,1450,0,0
19,2184,1,64
15,3608,1,18
13,2102,0,0
22,343,0,0
8,2832,0,0
19,662,2,10
11,2420,1,28
14,376,0,0
6,5476,1,10
3,6854,2,28
11,5257,0,0
7,3590,2,76
17,1676,2,12
10,5280,1,68
2,4836,0,0
17,861,0,0
14,2236,2,10
10,580,2,36
18,104,1,28
19,1024,0,0
1,9947,0,0
3,2020,0,0
2,528,1,76
15,3235,0,0
10,4107,2,15
21,1298,1,23
6,5770,0,0
2,822,2,18
3,1563,2,21
14,4096,2,8
12,1962,2,38
21,857,0,0
13,3802,2,90
15,3102,0,0
2,4590,1,152
12,2850,0,0
12,4130,1,32
12,4754,2,12
20,700,0,0
6,3652,2,28
10,2587,0,0
1,7972,2,24
12,4645,0,0
14,1000,1,28
2,2588,0,0
1,932,2,38
2,3897,0,0
13,264,0,0
11,2096,0,0
6,2323,0,0
3,1273,0,0
22,1120,0,0
1,1247,1,10
7,3512,2,16
1,9810,1,56
13,601,0,0
5,6853,1,17
21,1430,2,30
7,5866,0,0
14,2415,0,0
3,806,0,0
13,1035,0,0
2,9487,1,33
3,7411,0,0
1,5507,0,0
11,2448,1,12
10,4176,2,20
1,6794,1,60
16,2230,0,0
7,3434,0,0
10,488,2,28
3,1644,2,12
8,268,2,18
2,2312,1,40
11,3858,0,0
18,2116,1,4
14,3170,0,0
11,170,0,0
13,2068,2,50
6,800,2,56
12,2136,1,20
12,2709,0,0
15,2725,1,16
18,1812,2,30
6,5455,0,0
6,6402,0,0
8,3413,0,0
1,1782,2,38
9,4342,2,42
4,979,0,0
6,3064,2,26
2,470,2,32
7,3618,0,0
6,264,1,28
16,2972,2,88
2,804,2,60
1,1079,0,0
7,3072,1,36
1,1610,1,10
3,4472,1,20
2,1663,0,0
5,3047,0,0
7,4812,0,0
19,1577,2,22
2,1204,0,0
3,89,0,0
12,2304,2,8
5,6503,0,0
7,2944,1,8
3,6260,0,0
2,668,2,38
1,9064,2,12
15,960,0,0
1,7696,2,76
3,7140,2,16
13,925,0,0
3,7214,1,42
3,6680,0,0
9,780,2,18
20,1533,0,0
20,826,0,0
15,176,0,0
2,6528,1,32
1,7128,0,0
15,2880,2,36
19,2248,2,64
18,2386,0,0
11,3465,0,0
18,2585,0,0
1,8148,2,28
6,4232,1,40
7,1836,2,28
11,3161,0,0
1,420,1,24
12,2966,0,0
2,195,0,0
3,6380,2,48
12,1386,0,0
2,1016,1,28
16,2792,2,18
20,2068,0,0
9,1780,0,0
12,1976,2,8
14,4255,0,0
1,1672,0,0
8,3474,0,0
1,7344,1,16
1,8072,2,12
2,7369,0,0
2,7230,0,0
16,980,1,32
9,2042,0,0
9,4712,1,22
15,3899,0,0
5,2552,2,68
6,6308,1,36
8,228,0,0
16,1236,0,0
3,3598,0,0
5,5566,2,6
5,630,0,0
10,2562,2,22
11,3578,0,0
7,6270,0,0
9,5536,0,0
3,5111,2,20
4,4396,0,0
2,9488,2,32
9,3032,2,36
5,7204,1,32
6,729,0,0
6,5476,1,12
3,5576,0,0
1,1598,0,0
20,1482,2,34
13,1039,0,0
13,3940,1,40
2,9488,1,32
3,1774,1,26
5,7147,0,0
18,1966,1,28
11,88,2,24
5,4636,0,0
7,823,0,0
3,908,0,0
14,610,0,0
1,8417,0,0
16,3296,0,0
8,4234,0,0
13,4373,0,0
11,4699,0,0
1,2243,0,0
17,1228,1,24
4,4991,0,0
7,4876,0,0
14,2278,2,32
10,1766,1,50
20,1750,2,10
17,2988,2,36
1,4544,1,26
4,1676,2,26
5,1532,2,36
16,1651,0,0
12,468,1,20
14,1484,2,32
3,592,0,0
1,6298,0,0
8,2513,0,0
19,687,2,16
16,2205,0,0
3,360,1,14
20,1768,0,0
10,3156,1,28
12,3401,0,0
11,5012,2,32
10,27,0,0
1,3434,0,0
12,3620,2,24
9,4490,0,0
7,2523,0,0
9,816,0,0
18,762,1,16
5,4356,2,48
4,200,1,36
6,5022,0,0
3,7326,1,18
2,1330,0,0
13,3417,0,0
19,100,0,0
10,608,2,28
16,3329,0,0
13,1062,0,0
12,4341,0,0
8,2864,2,44
5,3417,0,0
8,2204,2,16
5,5704,0,0
6,3522,0,0
10,3660,2,20
2,7194,0,0
6,6445,0,0
9,2026,0,0
21,1080,1,24
1,6176,0,0
9,4944,0,0
2,3887,0,0
3,7060,1,64
5,3802,0,0
8,1222,0,0
7,928,2,24
2,4884,1,18
1,6416,1,8
7,3577,0,0
4,3286,0,0
3,1578,2,14
22,1772,2,28
1,5370,0,0
4,6308,0,0
9,3536,2,58
17,2109,0,0
8,4561,0,0
6,6223,0,0
4,6775,0,0
11,370,0,0
2,1706,2,24
17,2679,0,0
20,1612,2,12
22,1694,1,6
11,4917,2,20
19,116,1,12
6,3992,0,0
17,1229,0,0
5,2594,1,28
12,2032,1,16
2,4431,0,0
5,4029,0,0
19,1965,1,16
4,1425,0,0
9,3826,1,30
9,5648,2,32
11,133,0,0
15,2710,1,16
1,8506,1,26
9,872,1,28
1,6228,1,24
5,5976,2,16
6,3937,0,0
8,4100,0,0
1,1092,2,20
13,3058,2,24
16,2036,2,36
4,913,0,0
6,1714,2,12
12,1772,1,44
7,1680,2,72
2,429,0,0
12,884,0,0
2,630,1,38
13,3667,0,0
1,8802,1,36
11,2237,0,0
15,3114,0,0
2,9268,2,44
4,1602,1,28
16,974,0,0
6,2816,1,20
7,1984,0,0
3,3114,0,0
1,1418,0,0
15,1979,0,0
3,3530,2,40
7,3422,0,0
4,608,2,64
17,2196,2,40
13,437,0,0
5,736,2,48
8,268,2,20
5,5991,0,0
9,3254,0,0
11,2896,1,26
17,2596,0,0
12,3780,2,26
13,996,1,28
10,5164,0,0
20,1563,0,0
7,5236,0,0
3,4197,0,0
13,2131,0,0
11,2002,0,0
15,1548,1,12
17,2236,1,8
10,1891,0,0
12,1620,2,4
4,1650,1,26
2,4288,2,52
18,526,2,18
6,5564,2,28
10,3980,2,14
21,1562,1,30
2,3696,2,36
10,5104,1,76
10,3458,0,0
20,316,2,72
10,204,0,0
3,602,0,0
15,2504,1,32
4,7404,2,32
2,8651,0,0
1,3258,0,0
2,1152,1,8
22,1826,1,8
12,2593,0,0
2,7514,0,0
17,62,2,24
5,5340,2,8
3,373,0,0
12,1232,1,4
3,949,0,0
13,11,0,0
9,3560,2,24
21,146,0,0
3,319,0,0
16,142,1,34
18,2120,2,4
5,4908,1,10
3,2580,1,50
7,5398,1,16
12,4332,2,10
3,4884,1,16
5,1325,0,0
1,6672,1,36
16,2978,1,30
10,1616,0,0
5,6938,2,18
3,1960,1,20
8,5268,2,36
8,3890,2,38
6,6736,2,24
15,3230,0,0
1,1791,0,0
19,1468,1,64
7,1828,0,0
10,4435,0,0
7,3904,2,36
10,2990,2,26
16,2975,0,0
11,5188,2,32
12,2306,1,8
3,7688,2,64
20,2272,1,40
5,5516,1,28
17,2412,1,48
19,1630,0,0
3,4020,2,40
13,1091,0,0
12,5073,0,0
2,1720,2,12
1,3055,0,0
7,5196,0,0
3,4000,2,20
6,864,2,42
8,2972,0,0
15,1000,0,0
5,3263,2,39
9,3201,2,10
6,124,1,44
16,18,0,0
4,4196,1,60
2,1886,1,20
8,3570,0,0
19,1248,1,60
2,2768,1,14
9,5303,0,0
12,3179,0,0
6,1510,0,0
11,3820,2,28
15,2880,1,20
8,2332,1,52
2,7460,0,0
6,1840,1,40
7,208,2,24
1,7948,2,10
17,3176,0,0
11,2558,1,6
4,5778,2,14
17,718,2,16
21,0,1,616
2,8370,2,34
2,3695,0,0
15,2576,2,40
6,6404,1,32
15,1274,2,28
1,4210,0,0
6,2423,0,0
1,6936,1,32
18,104,1,8
4,189,0,0
18,1680,1,40
3,7195,0,0
7,676,1,32
3,4919,0,0
6,2469,0,0
1,3070,0,0
12,4128,1,32
6,4834,0,0
14,1452,2,51
10,4570,1,46
5,4460,2,26
14,2890,1,26
9,2656,0,0
7,2310,0,0
1,2720,2,32
15,841,0,0
5,5718,0,0
19,2158,0,0
21,1594,2,32
15,4012,2,20
8,5666,1,32
12,3265,0,0
10,2623,0,0
4,1004,1,12
9,4344,1,64
1,1516,1,24
9,3872,2,16
13,249,0,0
20,1143,0,0
17,2105,0,0
1,9424,2,12
2,2506,2,22
5,3840,2,24
18,974,2,34
4,2651,0,0
1,8205,0,0
13,1628,0,0
15,3328,1,28
7,1536,2,20
12,2316,2,12
1,8400,1,56
8,1793,0,0
14,4084,1,28
1,9942,0,0
21,1262,0,0
6,5588,1,90
1,3430,1,42
2,1271,0,0
8,2735,0,0
7,2882,0,0
8,1499,0,0
4,2347,0,0
12,1325,0,0
2,3057,0,0
17,2427,0,0
4,5656,0,0
3,174,2,44
3,5300,0,0
1,556,0,0
6,5656,0,0
9,5358,0,0
3,5150,0,0
12,608,2,12
4,392,1,30
12,1300,2,28
10,194,2,65
17,2292,2,28
4,4339,0,0
2,4006,1,58
6,3358,0,0
13,1754,0,0
13,503,0,0
1,4321,0,0
2,8203,0,0
7,1770,1,14
3,2753,0,0
7,2952,2,8
5,1074,0,0
9,5271,0,0
9,2840,2,1288
3,4205,0,0
6,3337,0,0
20,1890,2,39
13,495,0,0
5,2152,1,16
12,3253,0,0
18,2000,2,36
8,803,0,0
11,4140,2,20
15,1135,0,0
16,3395,0,0
4,5360,1,156
16,3124,1,32
9,2799,0,0
5,1440,2,40
12,2970,0,0
7,3512,2,36
5,5843,0,0
14,2799,2,15
9,2505,0,0
1,5865,0,0
1,7984,1,36
8,5242,0,0
10,4736,1,22
8,4859,0,0
7,6268,2,44
12,4124,0,0
14,3046,2,34
22,1492,2,16
12,3292,0,0
1,2300,0,0
2,4933,0,0
12,3673,0,0
2,571,0,0
14,2712,2,40
3,6326,0,0
6,3621,0,0
5,3327,0,0
15,2741,2,16
13,66,0,0
18,1748,1,24
12,12,0,0
7,2078,0,0
22,1250,0,0
2,5466,1,20
9,1150,0,0
12,4384,2,28
16,2884,1,88
13,4438,0,0
5,1468,2,28
14,1153,0,0
7,3175,0,0
11,2945,0,0
6,1744,2,28
11,3716,1,20
8,593,0,0
18,2812,1,50
12,1727,0,0
3,7524,0,0
13,3255,0,0
3,5338,0,0
11,4137,0,0
14,793,0,0
1,6400,1,14
9,1882,0,0
8,5649,0,0
4,5971,0,0
8,2332,2,44
11,4664,1,20
4,3491,0,0
1,2742,0,0
4,3922,0,0
5,3000,2,16
3,1564,1,12
4,3376,1,8
18,2728,1,80
2,1044,1,24
19,711,0,0
4,6658,0,0
7,5248,1,44
3,4239,0,0
20,1614,1,68
3,988,2,28
18,840,2,12
12,4092,1,36
3,3898,1,44
14,1029,0,0
8,2420,0,0
8,3333,0,0
14,4081,0,0
10,5150,1,28
14,2672,1,32
1,4516,1,28
9,4770,0,0
2,2511,0,0
21,1622,2,28
20,672,1,24
3,1134,0,0
3,7774,1,26
14,215,0,0
3,6436,0,0
1,338,1,20
1,5434,0,0
3,1733,0,0
7,1436,2,8
11,4314,1,28
7,2689,0,0
13,4574,0,0
3,5710,2,18
12,4294,0,0
16,206,1,138
9,1861,0,0
16,198,0,0
8,2864,1,44
10,1037,0,0
6,5796,1,56
2,9240,0,0
16,3240,1,40
13,1822,2,20
17,1512,0,0
8,388,1,24
19,718,0,0
11,360,1,8
5,3556,2,36
16,1046,0,0
6,3972,2,56
1,7310,0,0
13,2916,0,0
9,3698,0,0
22,593,0,0
20,1988,0,0
4,168,1,32
2,3005,1,32
14,1554,0,0
5,4282,1,28
2,17,0,0
18,234,1,27
12,195,0,0
3,781,0,0
7,1596,1,12
9,5008,1,16
18,436,0,0
1,6532,1,72
5,6965,0,0
10,5222,0,0
3,5713,0,0
7,1836,1,56
14,3652,1,28
3,4898,2,14
2,9656,2,80
7,4622,2,86
16,2327,0,0
5,2928,1,32
12,3536,2,80
12,4264,1,36
1,820,2,12
9,5082,0,0
18,2728,2,68
2,1356,2,40
10,3740,2,36
6,3868,0,0
21,183,0,0
7,1784,1,24
22,2050,2,2050
20,1336,1,24
5,7175,0,0
20,2132,2,46
6,5776,2,24
2,1952,2,32
4,2625,0,0
10,146,0,0
16,491,0,0
2,1886,1,19
2,3346,0,0
22,1682,1,12
18,2474,0,0
6,3196,0,0
20,1482,1,28
3,3071,0,0
15,1753,0,0
2,1331,0,0
9,5369,0,0
8,390,0,0
21,1832,2,28
2,8508,0,0
13,2972,2,44
6,980,1,12
7,1768,0,0
8,3435,0,0
6,1776,2,34
9,1771,0,0
1,8434,0,0
6,534,0,0
2,3888,2,8
1,7858,0,0
12,1226,0,0
4,1676,1,40
1,7273,0,0
10,5267,0,0
11,1286,0,0
2,3834,0,0
11,4688,1,32
7,5784,0,0
10,2683,0,0
19,1980,2,14
18,2446,2,54
5,2394,0,0
22,1670,2,30
11,3788,1,32
3,1300,0,0
2,2634,1,96
11,4861,1,36
15,2314,1,26
16,1793,0,0
1,1246,2,64
11,3821,1,27
17,1571,0,0
14,3012,1,32
19,506,2,38
14,2577,0,0
3,2316,1,28
2,6476,1,16
7,6035,0,0
17,78,1,12
1,6408,0,0
11,56,0,0
2,432,2,60
12,4130,2,44
11,3788,2,44
20,1432,1,16
8,250,1,18
5,688,1,46
7,1009,1,27
1,2032,1,36
7,3496,1,16
10,4298,0,0
11,3462,2,16
5,1429,0,0
13,307,0,0
15,2550,1,28
19,1848,2,12
4,6485,0,0
1,8220,2,8
4,1590,0,0
21,1320,2,24
15,1038,0,0
6,788,0,0
12,3952,2,72
4,2855,0,0
7,3940,2,24
12,1620,1,10
10,4464,1,48
11,4768,1,40
11,152,1,14
5,980,0,0
12,2540,1,52
8,2431,0,0
3,1110,1,26
12,536,2,20
1,2588,1,24
16,3565,0,0
7,6224,1,44
11,1101,0,0
3,7802,0,0
9,1082,0,0
19,1554,2,20
12,2598,0,0
9,4300,1,42
3,652,2,28
8,4702,0,0
6,1762,2,18
11,357,0,0
10,4512,2,48
11,4412,2,24
12,574,2,38
7,2681,0,0
1,8109,0,0
17,1594,2,42
7,4636,0,0
11,3559,0,0
11,3395,0,0
18,753,0,0
5,945,0,0
19,1418,2,18
18,1596,2,32
